LU,YR_BUILT,GROSS_TAX
R2,1905,560470
R2,1900,568331
R1,1900,351290
R1,1916,332112
R1,1912,425698
R2,1900,489730
R1,1928,436807
RL,0,15510
R1,1900,346993
R2,1900,520437
R4,1900,1096732
R2,1910,426956
R2,1910,405262
R2,1900,497066
R2,1910,453575
R2,1910,576924
R1,2000,450955
R2,1900,532594
R2,1900,511529
R1,1900,346050
R1,1986,237372
RL,0,112974
R1,1900,256864
R1,1900,326557
E,0,0
R1,1987,360826
R2,1900,453365
R3,1910,620940
CM,1900,0
CD,1900,383883
CD,1900,415637
R1,1991,399184
R2,1900,420143
R2,1900,390066
RL,0,22113
R1,1900,312199
RL,0,39824
R2,1900,507861
R2,1900,432929
R2,1900,447392
R3,2016,1015826
R3,2016,1015826
R1,1900,262314
R2,1900,459443
R2,1900,492560
R2,1900,434711
R2,1900,451793
R3,1900,720605
R2,1900,454937
R2,1900,492141
R1,1910,368163
RL,0,3563
RL,0,24838
R3,1910,595579
R1,1910,391114
R1,1910,383987
RL,0,40034
R1,1910,326662
R2,1891,497381
RL,0,51352
R2,1910,489521
R2,1910,687803
R3,1910,556278
R2,1900,494551
R2,1900,490569
R2,1915,438064
R2,1900,442990
R2,1900,497381
R3,1918,631210
R3,1910,723225
R2,1910,464474
R3,1910,616748
R3,1900,539616
CM,1910,0
CD,1910,269021
CD,1910,271851
CD,1910,284008
R2,1910,454727
R3,1910,642739
CM,1910,0
CD,1910,322889
CD,1910,281493
CD,1910,279082
R2,1910,517817
R2,1920,473486
R2,1910,487739
R1,1910,466570
R2,1900,474116
R2,1910,525468
CM,1999,0
CM,1999,0
CD,1988,353910
CD,1988,350976
CD,1988,416161
CD,1988,354224
R2,1915,656363
R1,1910,652904
R2,1910,712116
R2,1910,552506
R2,1910,651123
R2,1900,660974
R3,1930,838610
R1,1910,557851
R2,1940,633831
R2,2001,822366
R2,1900,662965
R2,1910,776463
R2,1910,805179
R2,1915,794175
R3,1920,640014
R3,1912,614862
R3,1912,614442
R3,1920,638022
CM,2013,0
CD,2013,473696
CD,2013,592225
R3,1915,508070
R2,1925,489207
R3,1929,636555
R3,1915,579544
R3,1920,550200
R3,1910,611403
R3,1912,625656
R2,1915,709391
R2,1895,653848
R2,1925,702894
R1,1920,451584
R3,1915,769232
R3,1915,666528
R2,1920,645988
R2,1915,678685
R3,1923,835256
R2,1910,592959
R1,1930,497276
R2,1920,574724
R2,1915,621045
C,1899,1990800
C,1930,709380
R3,1910,605535
R3,1915,882940
R3,1915,939847
R3,1910,708868
R3,1910,840182
R3,1915,808532
R3,1910,584155
R2,1910,585832
R2,1910,566968
R1,1926,401280
R2,1915,579754
RL,0,39195
RL,0,39195
R2,1900,574200
R3,1910,628800
R2,1915,527249
R1,1910,430519
R2,1950,538777
R1,1900,432091
R1,1915,508700
R1,1915,422240
R2,1910,600400
R2,1915,633516
R2,1915,630268
R2,1900,625447
R2,1915,592749
R2,1925,583107
R2,1910,718195
R2,1915,673131
R3,1915,664432
R3,1930,584365
R2,1910,545589
R3,1910,577553
R2,1920,549781
R2,1930,591701
R2,1910,582360
R2,1920,531126
R2,1910,562462
R2,1910,538253
R2,1925,472124
R2,1900,498220
R3,1900,560471
R3,1910,696711
R3,1910,625552
R3,1910,556384
R2,1910,603124
R3,1915,611404
R2,1915,559737
R2,1900,592016
R2,1910,557012
R3,1915,566234
R3,1910,581955
R3,1910,555126
R1,1910,558165
R2,1920,611718
R1,1915,485644
R3,1910,855692
R2,1900,643996
R2,1920,673969
R2,1920,685182
